,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
0,M,298.1,308.6,1551,42.8,0,0,No Failure
1,L,298.2,308.7,1408,46.3,3,0,No Failure
2,L,298.1,308.5,1498,49.4,5,0,No Failure
3,L,298.2,308.6,1433,39.5,7,0,No Failure
4,L,298.2,308.7,1408,40.0,9,0,No Failure
5,M,298.1,308.6,1425,41.9,11,0,No Failure
6,L,298.1,308.6,1558,42.4,14,0,No Failure
7,L,298.1,308.6,1527,40.2,16,0,No Failure
8,M,298.3,308.7,1667,28.6,18,0,No Failure
9,M,298.5,309.0,1741,28.0,21,0,No Failure
10,H,298.4,308.9,1782,23.9,24,0,No Failure
11,H,298.6,309.1,1423,44.3,29,0,No Failure
12,M,298.6,309.1,1339,51.1,34,0,No Failure
13,M,298.6,309.2,1742,30.0,37,0,No Failure
14,L,298.6,309.2,2035,19.6,40,0,No Failure
15,L,298.6,309.2,1542,48.4,42,0,No Failure
16,M,298.6,309.2,1311,46.6,44,0,No Failure
17,M,298.7,309.2,1410,45.6,47,0,No Failure
18,H,298.8,309.2,1306,54.5,50,0,No Failure
19,M,298.9,309.3,1632,32.5,55,0,No Failure
20,H,298.9,309.3,1375,42.7,58,0,No Failure
21,L,298.8,309.3,1450,44.8,63,0,No Failure
22,M,298.9,309.3,1581,30.7,65,0,No Failure
23,L,299.0,309.4,1758,25.7,68,0,No Failure
24,M,299.0,309.4,1561,37.3,70,0,No Failure
25,L,299.0,309.5,1861,23.3,73,0,No Failure
26,L,299.1,309.5,1512,39.0,75,0,No Failure
27,H,299.1,309.4,1811,24.6,77,0,No Failure
28,L,299.1,309.4,1439,44.2,82,0,No Failure
29,L,299.0,309.4,1693,30.1,84,0,No Failure
30,M,299.1,309.5,1339,48.2,86,0,No Failure
31,L,299.0,309.4,1798,25.5,89,0,No Failure
32,L,299.0,309.4,1419,48.3,91,0,No Failure
33,L,298.9,309.3,1665,32.5,93,0,No Failure
34,M,298.8,309.1,1559,34.7,95,0,No Failure
35,M,298.8,309.2,1452,48.6,98,0,No Failure
36,M,298.9,309.2,1581,36.7,101,0,No Failure
37,L,298.8,309.1,1439,39.2,104,0,No Failure
38,H,298.9,309.2,1379,50.7,106,0,No Failure
39,L,298.8,309.1,1350,52.5,111,0,No Failure
40,L,298.8,309.1,1362,45.4,113,0,No Failure
41,L,298.8,309.1,1368,50.8,115,0,No Failure
42,M,298.8,309.1,1368,49.1,117,0,No Failure
43,H,298.8,309.2,1372,48.5,120,0,No Failure
44,M,298.8,309.1,1472,47.5,125,0,No Failure
45,L,298.8,309.1,1489,49.1,128,0,No Failure
46,M,298.7,309.0,1843,25.8,130,0,No Failure
47,L,298.8,309.1,1418,46.3,133,0,No Failure
48,H,298.8,309.2,1425,53.9,135,0,No Failure
49,M,298.9,309.2,1412,44.1,140,0,No Failure
50,L,298.9,309.1,2861,4.6,143,1,Power Failure
51,L,298.9,309.1,1383,54.9,145,0,No Failure
52,H,298.8,309.0,1497,43.8,147,0,No Failure
53,L,298.7,309.0,1565,35.1,152,0,No Failure
54,L,298.7,309.0,1691,30.1,154,0,No Failure
55,L,298.8,309.1,1512,40.7,156,0,No Failure
56,L,298.8,309.1,1477,42.4,158,0,No Failure
57,L,298.8,309.1,1513,40.3,160,0,No Failure
58,M,298.8,309.0,1661,29.5,162,0,No Failure
59,L,298.8,309.1,1378,54.4,165,0,No Failure
60,L,298.8,309.1,1393,52.6,167,0,No Failure
61,M,298.8,309.0,1592,38.2,169,0,No Failure
62,L,298.8,309.0,1829,22.9,172,0,No Failure
63,M,298.9,309.0,1812,25.9,174,0,No Failure
64,L,299.0,309.1,1523,38.6,177,0,No Failure
65,L,299.0,309.1,1394,45.1,179,0,No Failure
66,M,298.9,308.9,1679,28.7,181,0,No Failure
67,H,298.8,308.9,1466,44.1,184,0,No Failure
68,L,298.8,308.9,1527,32.4,189,0,No Failure
69,L,298.9,309.0,1410,65.7,191,1,Power Failure
70,M,298.9,309.0,1924,22.6,193,0,No Failure
71,L,298.9,309.1,1452,45.5,196,0,No Failure
72,L,298.9,309.1,1369,44.4,198,0,No Failure
